,control1,lps1,control2,lps2,control3,lps3
ACVR2A,1494,638,923,388,751,612
ACVR2B,405,305,368,437,495,327
ACVR2B-AS1,9,5,10,10,5,6
ACVRL1,570,1699,502,2641,707,1962
ACY1,25,7,34,9,14,8
ACY3,5,4,1,1,4,1
ACYP1,83,56,83,83,86,83
ACYP2,171,127,167,114,140,95
AD000090.2,93,50,75,24,101,57
ADA,966,3429,354,3632,1442,1884
ADAD1,0,0,0,0,0,0
ADAD2,0,0,0,2,0,0
ADAL,393,322,506,271,349,380
ADAM10,16277,19468,13995,11401,17060,20326
ADAM11,2,54,5,7,6,13
ADAM12,1037,213,3376,506,324,202
ADAM15,7987,1948,7516,2318,5016,1842
ADAM17,3489,5215,4368,4266,3265,5327
ADAM18,0,0,0,0,0,0
ADAM19,672,14503,147,15176,48,19573
ADAM1A,168,113,193,99,214,119
ADAM2,0,0,0,0,0,0
ADAM20,1,4,2,1,2,5
ADAM20P1,12,15,5,13,11,5
ADAM21,13,9,5,21,5,2
ADAM21P1,1,0,1,2,1,0
ADAM22,27,29,38,15,36,23
ADAM23,3,11,6,4,13,14
ADAM28,7281,8762,4827,5278,7188,5478
ADAM29,0,0,0,0,1,0
ADAM30,0,0,0,0,0,0
ADAM32,18,6,2,7,13,8
ADAM33,0,0,4,1,0,0
ADAM3A,0,0,0,0,0,0
ADAM5,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0
ADAM7,0,0,0,0,0,0
ADAM8,19320,8136,2363,10170,7778,7612
ADAM9,21943,16990,22868,16064,25550,18051
ADAMDEC1,22520,38123,36779,63790,11845,22730
ADAMTS1,0,0,1,0,0,0
ADAMTS10,96,12,44,2,84,26
ADAMTS12,1,2,0,0,0,0
ADAMTS13,34,31,30,29,16,17
ADAMTS14,107,3090,84,1346,17,2577
ADAMTS15,13,1,28,1,23,1
ADAMTS16,0,1,1,3,2,0
ADAMTS17,5,3,5,7,7,8
ADAMTS18,0,0,0,0,0,0
ADAMTS19,0,0,2,0,0,0
ADAMTS2,110,64,132,91,18,26
ADAMTS20,0,0,0,0,0,0
ADAMTS3,6,0,4,0,0,0
ADAMTS4,5,23,5,15,3,10
ADAMTS5,4,16,3,28,10,17
ADAMTS6,64,8,58,94,16,13
ADAMTS7,51,33,13,104,0,26
ADAMTS7P1,0,1,0,1,2,0
ADAMTS8,30,20,13,3,1,5
ADAMTS9,0,0,0,0,0,1
ADAMTS9-AS2,0,0,0,0,0,0
ADAMTSL1,0,1,0,0,0,0
ADAMTSL2,4,1,1,0,3,3
ADAMTSL3,0,0,0,0,0,0
ADAMTSL4,3300,8112,2630,5107,3912,9628
ADAMTSL4-AS1,8,52,13,84,14,42
ADAMTSL5,10,14,19,19,11,12
ADAP1,2091,3103,1351,2610,3125,3445
ADAP2,4723,2689,2089,2853,7219,2533
ADAR,13885,40670,15057,49416,13612,38767
ADARB1,2118,1416,2028,1493,1829,2397
ADARB2,2,10,3,1,7,27
ADARB2-AS1,0,0,0,0,0,0
ADAT1,1491,1188,1373,1051,1198,1130
ADAT2,832,125,270,46,560,99
ADAT3,239,253,189,219,351,316
ADC,14,19,3,65,10,9
ADCK1,727,286,633,237,721,251
ADCK2,1853,720,1574,560,1650,728
ADCK3,2372,1160,2047,1292,1676,1016
ADCK4,558,454,573,440,566,461
ADCK5,442,302,269,298,499,334
ADCY1,26,4,15,7,18,2
ADCY10,17,11,31,4,10,15
ADCY10P1,133,127,122,99,124,135
ADCY2,3,0,16,6,0,2
ADCY3,4358,1024,4068,1847,5202,1989
ADCY4,53,122,34,293,272,285
ADCY5,6,9,11,9,8,6
ADCY6,166,72,166,120,81,40
ADCY7,16185,10929,10787,10723,17459,10517
ADCY8,27,5,32,16,7,3
ADCY9,1445,1000,1385,1471,1463,834
ADCYAP1,0,0,0,0,0,0
ADCYAP1R1,0,0,0,1,0,0
ADD1,6136,7671,5914,8819,7717,7902
ADD2,73,15,5,9,7,13
ADD3,2237,1311,2374,1782,2538,1315
ADD3-AS1,0,0,1,0,1,0
ADGB,1,0,0,0,1,0
ADH1A,0,0,0,0,1,0
ADH1B,0,0,0,0,0,0
ADH1C,0,0,0,0,0,0
ADH4,0,0,1,2,0,0
ADH5,3221,2229,3611,2614,4127,2224
ADH6,3,3,1,1,5,2
ADH7,0,0,0,0,0,0
ADHFE1,73,79,73,55,78,61
ADI1,6232,4103,4912,3619,5099,3811
ADIG,0,0,0,0,0,0
ADIPOQ,0,0,0,0,0,0
ADIPOQ-AS1,0,0,0,0,0,0
ADIPOR1,7631,10913,8763,9321,7956,10673
ADIPOR2,3994,3687,3673,3672,4107,3973
ADIRF,85,31,40,34,87,38
ADK,3293,716,4955,887,5029,1686
ADM,1576,3236,1292,5350,1384,2415
ADM2,31,120,29,179,25,72
ADM5,22,7,3,4,7,8
ADNP,4668,3031,3714,3014,3847,3373
ADNP2,1090,1349,1147,1609,1118,1424
ADO,3405,5058,5737,2896,3071,5592
ADORA1,159,9,75,12,34,3
ADORA2A,1,48,3,81,1,31
ADORA2A-AS1,0,157,4,146,5,79
ADORA2B,614,47,343,53,782,89
ADORA3,1433,77,357,26,4508,115
ADPGK,7739,14897,7757,17208,7614,14585
ADPGK-AS1,95,312,149,722,116,425
ADPRH,1558,2120,2038,2431,2275,2846
ADPRHL1,35,24,39,29,6,22
ADPRHL2,1088,1468,910,1822,1152,1209
ADPRM,169,254,167,332,218,223
ADRA1A,0,0,0,0,0,0
ADRA1B,0,4,0,1,0,1
ADRA1D,0,2,1,1,1,2
ADRA2A,6,2,3,0,1,0
ADRA2B,2934,96,4341,30,2450,395
ADRA2C,0,1,4,1,0,0
ADRB1,3,6,1,9,3,3
ADRB2,217,38,62,20,197,28
ADRB3,0,7,0,1,0,3
ADRBK1,10888,8988,8026,6907,12035,10464
ADRBK2,8995,7913,13294,7181,9241,8903
ADRM1,4696,5219,4267,4683,4449,5905
ADSL,2429,1521,1624,1169,2053,1274
ADSS,5869,3468,3672,3880,2887,3225
ADSSL1,31,15,19,21,40,18
ADTRP,72,130,129,84,63,78
AEBP1,40,29,7,3,8,8
AEBP2,1376,1104,920,1066,1055,1108
AEN,1587,692,474,742,1147,727
AES,7616,4738,10643,12669,7676,5563
AF064858.7,0,0,0,0,0,4
AFAP1,172,81,70,140,17,24
AFAP1-AS1,5,0,9,2,1,1
AFAP1L1,1896,51,4176,63,3039,292
AFAP1L2,0,3,2,1,1,0
AFF1,8132,7154,8903,8908,7372,6933
AFF2,23,78,36,40,9,114
AFF3,4,6,3,9,5,3
AFF4,9382,13189,11098,13740,8728,13029
AFG3L1P,972,964,736,720,813,936
AFG3L2,5198,2859,5160,2775,4336,3072
AFM,0,0,0,0,0,0
AFMID,789,170,284,308,407,127
AFP,0,0,0,0,0,1
AFTPH,4566,5660,5335,5440,3897,5685
AGA,1361,1563,1111,1465,1224,1312
AGAP1,138,6,89,18,11,4
AGAP1-IT1,0,0,1,0,0,0
